segment,manufacturer_part_number
Diode,1N4148WS-E3-08
Diode,VS-1EFH02HM3/I
Diode,S07G-GS18
Diode,US1G-E3/5AT
Diode,S07J-GS08
Diode,1N4154TR
Diode,BAW27-TR
Diode,1N4151TR
Diode,LL4150GS18
Diode,V1PM15-M3/H
Diode,SS2FH10HM3/H
Diode,SS10PH45HM3_A/I
Diode,SL04-HM3_A08
Diode,V3FL45HM3/H
Diode,RS1FLM-M3/H
Diode,AU1PM-M3/84A
Diode,1N4005GP-E3/54
Diode,ES07B-GS08
Diode,BAS70-00-E3-08
Diode,SE30AFJHM3/6A
Diode,BY448TR
Diode,BYG23T-M3/TR
Diode,1N5817-E3/73
Optoelectronic,VLMW1500-GS08
Optoelectronic,VLMG1500-GS08
Optoelectronic,VLMB1500-GS08
Optoelectronic,TLMS1000-GS15
Optoelectronic,VLMR233T2V2-GS08
Optoelectronic,VLMTG1500-GS08
Optoelectronic,VLMTG1400-GS08
Optoelectronic,VLMS1500-GS08
Optoelectronic,TLMP1100-GS15
Optoelectronic,VLMO1500-GS08
Optoelectronic,TLMG1100-GS15
Optoelectronic,VLMG1300-GS08
Optoelectronic,TLMY1100-GS15
Optoelectronic,VLDR1235G
Optoelectronic,VLMW1300-GS08
Optoelectronic,VLMTG1300-GS08
Optoelectronic,VLMY1500-GS08
Optoelectronic,VLMG3102-GS08
Optoelectronic,VLMS30K1L2-GS08
Optoelectronic,VLDR1235R
Optoelectronic,VLMB1310-GS08
Optoelectronic,TLMO1000-GS15
Optoelectronic,VLMKG3400-GS18
Optoelectronic,VLMW41R1T1-5K8L-08
Optoelectronic,TLMO1100-GS15
Optoelectronic,VLMO1300-GS08
Optoelectronic,VLMS1300-GS08
Optoelectronic,VLMB41P1Q2-GS18
Optoelectronic,VLMP20D2G1-GS08
Optoelectronic,VLMKG3400-GS08
Resistor,CRCW040210K0FKED
Resistor,CRCW04020000Z0ED
Resistor,CRCW060310K0FKEA
Resistor,CRCW0402100KFKED
Resistor,CRCW06030000Z0EA
Resistor,CRCW0402100RFKEDC
Resistor,CRCW04021K00FKED
Resistor,CRCW0603100KFKEA
Resistor,CRCW020110K0FNED
Resistor,CRCW04024K70FKED
Resistor,CRCW06031K00FKEA
Resistor,CRCW040210R0FKED
Resistor,CRCW04021K00FKEDC
Resistor,CRCW04024K75FKED
Resistor,CRCW06030000Z0EAHP
Resistor,CRCW0402100RFKED
Resistor,CRCW040249R9FKED
Resistor,CRCW04020000Z0EDHP
Resistor,CRCW08051K00FKEA
Resistor,CRCW06039M09FKEAC
Resistor,CRCW080510K0FKEA
Resistor,CRCW080510K0FKEAC
Resistor,CRCW04024K70FKEDC
Resistor,RCS04020000Z0ED
Resistor,MCS04020C1001FE000
Resistor,CRCW040210R0FKEDC
Resistor,CRCW040233R2FKED
Resistor,CRCW04022M00FKEDC
Resistor,RCS06030000Z0EA
Resistor,CRCW04024K99FKED
Capacitor,BS025016WC16038BH1
Capacitor,BF016010BE20038BJ2
Capacitor,BF016010BE50038BJ2
Capacitor,HR0022VR20291BB2
Capacitor,HR0022VR10238AX1
Capacitor,HR0030VR50291BB1
Capacitor,RHS250P36BPZAN4153
Capacitor,HRZ030VR50291BB1
Capacitor,HR0030VR50291BB2
Capacitor,PS0055BE20236AP2
Capacitor,BZ016010BE10036BH1
Capacitor,BZ016010BE12036BH1
Capacitor,BZ016010BE16036BH1
Capacitor,BZ016010BE18036BH1
Capacitor,BZ016010BE20036BJ1
Capacitor,BZ016010BE25036BJ1
Capacitor,BZ016010BE30036BJ1
Capacitor,BZ016010BE40036BJ1
Capacitor,BF016010BE96013BH1
Capacitor,BF025016WC10138BJ2
Capacitor,PS0055BE40238AS1
Capacitor,PS0020BE33036BH1
Capacitor,HR0022VN15291AV1
Capacitor,HR0022VQ93013BF1
Capacitor,HR0022VT75191AV1
Capacitor,BZ016010BE18031BH1
Capacitor,BS016010BE20038BJ1
Capacitor,HR0022VQ93015BF1
Capacitor,HR0030BE35236BA1
Capacitor,BF016010BE94013BF1
Inductor,IHHP0806AZER2R2M01
Inductor,IHHP1008AZER1R0M01
Inductor,IFSC1515AHER2R2M01
Inductor,IFSC1515AHER1R0M01
Inductor,ILSB1206ER100K
Inductor,IHHP0603ZHER1R0M01
Inductor,IHLP2525CZERR68M8A
Inductor,IHSM4825ER100L
Inductor,IHHP1008ABER1R0M01
Inductor,IFSC1008ABER1R0M01
Inductor,IHHP0805ZHER1R0M01
Inductor,IHHP0806ZHER1R0M01
Inductor,IFSC1515AHER330M01
Inductor,IHLP3232DZERR68M01
Inductor,IHHP0806ZHER2R2M01
Inductor,IMC1210ER100K
Inductor,IHLP2020CZER5R6M11
Inductor,IHHP0806AZER1R0M01
Inductor,IFSC1008ABER2R2M01
Inductor,IMC0805ER100J01
Inductor,IHLP2020ABER2R2M01
Inductor,IHLP5050CEER2R2M01
Inductor,IHLP1212BZEVR10M5A
Inductor,IFSC0806AZER100M01
Inductor,IHLP3232CZER6R8M11
Inductor,IHLP2525CZER4R7M11
Inductor,IHLP3232DZER330M11
Inductor,IHLP1212AEEZR47M1Z
Inductor,IHHP1008ABER2R2M01
Inductor,IFSC1008ABER100M01
